,start_overlap,end_overlap,duration_overlap,duration_overlap_sec
0,2011-06-21 13:09:35,2011-06-21 13:52:44,0 days 00:43:10,2590.0
1,2011-06-21 13:09:35,2011-06-21 13:10:08,0 days 00:00:34,34.0
2,2011-06-21 13:09:35,2011-06-21 13:53:19,0 days 00:43:45,2625.0
3,2011-06-21 13:09:35,2011-06-21 13:53:19,0 days 00:43:45,2625.0
4,2011-06-21 13:09:35,2011-06-21 13:53:19,0 days 00:43:45,2625.0
5,2011-06-21 13:09:35,2011-06-21 13:10:08,0 days 00:00:34,34.0
6,2011-06-21 13:09:35,2011-06-21 13:52:44,0 days 00:43:10,2590.0
7,2011-06-21 13:09:35,2011-06-21 13:52:44,0 days 00:43:10,2590.0
8,2011-06-21 13:09:35,2011-06-21 13:52:44,0 days 00:43:10,2590.0
9,2011-06-21 13:09:35,2011-06-21 13:10:08,0 days 00:00:34,34.0
10,2011-06-21 13:09:35,2011-06-21 13:10:08,0 days 00:00:34,34.0
11,2011-06-21 13:09:35,2011-06-21 13:10:08,0 days 00:00:34,34.0
12,2011-06-21 13:09:35,2011-06-21 17:41:25,0 days 04:31:51,16311.0
13,2011-06-21 13:09:35,2011-06-21 17:41:25,0 days 04:31:51,16311.0
14,2011-06-21 13:09:35,2011-06-21 19:09:34,0 days 06:00:00,21600.0
15,2011-06-27 19:01:40,2011-06-27 19:01:50,0 days 00:00:11,11.0
16,2011-06-28 07:16:06,2011-06-28 10:30:57,0 days 03:14:52,11692.0
17,2011-06-28 14:09:47,2011-06-28 14:13:41,0 days 00:03:55,235.0
