cha_labels,F:\UCLH_GLAS\icEEG\1109\X6262_18\Patient8_LTM-FEBRUARY_t18_06232012182853\Patient8_LTM-FEBRUARY_t18_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_1\Patient8_LTM-FEBRUARY_t1_06192012090912\Patient8_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_10\Patient8_LTM-FEBRUARY_t10_07042012163829\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_10_labelledAs11\Patient8_LTM-FEBRUARY_t11_07042012165447\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_12\Patient8_LTM-FEBRUARY_t12_07042012171010\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_12\Patient8_LTM-FEBRUARY_t12_07042012171010\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_12\Patient8_LTM-FEBRUARY_t12_07042012171010\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_13\Patient8_LTM-FEBRUARY_t13_07042012173424\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_14\Patient8_LTM-FEBRUARY_t14_06252012144916\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_15\Patient8_LTM-FEBRUARY_t15_06232012002801\Patient8_LTM-FEBRUARY_t15_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_4.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_5.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_6.edf,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_7.edf,F:\UCLH_GLAS\icEEG\1109\X626_17\Patient8_LTM-FEBRUARY_t17_06232012122833\Patient8_LTM-FEBRUARY_t17_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_17\Patient8_LTM-FEBRUARY_t17_06232012122833\Patient8_LTM-FEBRUARY_t17_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_17\Patient8_LTM-FEBRUARY_t17_06232012122833\Patient8_LTM-FEBRUARY_t17_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_19\Patient8_LTM-FEBRUARY_t19_06242012002908\Patient8_LTM-FEBRUARY_t19_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_2\Patient8_LTM-FEBRUARY_t2_07022012092250\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_20\Patient8_LTM-FEBRUARY_t20_06242012062921\Patient8_LTM-FEBRUARY_t20_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_20\Patient8_LTM-FEBRUARY_t20_06242012062921\Patient8_LTM-FEBRUARY_t20_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_20\Patient8_LTM-FEBRUARY_t20_06242012062921\Patient8_LTM-FEBRUARY_t20_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_10.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_11.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_4.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_5.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_6.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_7.edf,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_8.edf,F:\UCLH_GLAS\icEEG\1109\X626_23\Patient8_LTM-FEBRUARY_t23_06252012003011\Patient8_LTM-FEBRUARY_t23_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_23\Patient8_LTM-FEBRUARY_t23_06252012003011\Patient8_LTM-FEBRUARY_t23_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_23\Patient8_LTM-FEBRUARY_t23_06252012003011\Patient8_LTM-FEBRUARY_t23_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_24\Pruned_07092012130435\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_3\Patient8_LTM-FEBRUARY_t3_06202012002500\Patient8_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_10.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_11.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_6.edf,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_8.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_4.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_5.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_6.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_8.edf,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_9.edf,F:\UCLH_GLAS\icEEG\1109\X626_6\Patient8_LTM-FEBRUARY_t6_06202012182532\Patient8_LTM-FEBRUARY_t6_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_6\Patient8_LTM-FEBRUARY_t6_06202012182532\Patient8_LTM-FEBRUARY_t6_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_6\Patient8_LTM-FEBRUARY_t6_06202012182532\Patient8_LTM-FEBRUARY_t6_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_labelled8\Patient8_LTM-FEBRUARY_t8_07022012110753\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_labelled8\Patient8_LTM-FEBRUARY_t8_07022012110753\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_labelled8\Patient8_LTM-FEBRUARY_t8_07022012110753\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_Patient8_LTM-FEBRUARY_t7_06212012002604\Patient8_LTM-FEBRUARY_t7_1.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_Patient8_LTM-FEBRUARY_t7_06212012002604\Patient8_LTM-FEBRUARY_t7_2.edf,F:\UCLH_GLAS\icEEG\1109\X626_7_Patient8_LTM-FEBRUARY_t7_06212012002604\Patient8_LTM-FEBRUARY_t7_3.edf,F:\UCLH_GLAS\icEEG\1109\X626_9\Patient8_LTM-FEBRUARY_t9_07022012125400\Pruned_1.edf
RA 01,RA 01,RA 01,RA 01,RA 01,RA 01,,RA 01,RA 01,RA 01,RA 01,RA 01,,RA 01,,RA 01,,RA 01,RA 01,,RA 01,RA 01,RA 01,RA 01,,RA 01,RA 01,,RA 01,,RA 01,RA 01,,RA 01,,RA 01,,RA 01,,RA 01,,RA 01,,RA 01,RA 01,RA 01,RA 01,,RA 01,,RA 01,,,,RA 01,,RA 01,,RA 01,,,RA 01,RA 01,RA 01,RA 01,RA 01,,RA 01,RA 01,,RA 01,RA 01
RA 02,RA 02,RA 02,RA 02,RA 02,RA 02,,RA 02,RA 02,RA 02,RA 02,RA 02,,RA 02,,RA 02,,RA 02,RA 02,,RA 02,RA 02,RA 02,RA 02,,RA 02,RA 02,,RA 02,,RA 02,RA 02,,RA 02,,RA 02,,RA 02,,RA 02,,RA 02,,RA 02,RA 02,RA 02,RA 02,,RA 02,,RA 02,,,,RA 02,,RA 02,,RA 02,,,RA 02,RA 02,RA 02,RA 02,RA 02,,RA 02,RA 02,,RA 02,RA 02
RA 03,RA 03,RA 03,RA 03,RA 03,RA 03,,RA 03,RA 03,RA 03,RA 03,RA 03,,RA 03,,RA 03,,RA 03,RA 03,,RA 03,RA 03,RA 03,RA 03,,RA 03,RA 03,,RA 03,,RA 03,RA 03,,RA 03,,RA 03,,RA 03,,RA 03,,RA 03,,RA 03,RA 03,RA 03,RA 03,,RA 03,,RA 03,,,,RA 03,,RA 03,,RA 03,,,RA 03,RA 03,RA 03,RA 03,RA 03,,RA 03,RA 03,,RA 03,RA 03
RA 04,RA 04,RA 04,RA 04,RA 04,RA 04,,RA 04,RA 04,RA 04,RA 04,RA 04,,RA 04,,RA 04,,RA 04,RA 04,,RA 04,RA 04,RA 04,RA 04,,RA 04,RA 04,,RA 04,,RA 04,RA 04,,RA 04,,RA 04,,RA 04,,RA 04,,RA 04,,RA 04,RA 04,RA 04,RA 04,,RA 04,,RA 04,,,,RA 04,,RA 04,,RA 04,,,RA 04,RA 04,RA 04,RA 04,RA 04,,RA 04,RA 04,,RA 04,RA 04
RA 05,RA 05,RA 05,RA 05,RA 05,RA 05,,RA 05,RA 05,RA 05,RA 05,RA 05,,RA 05,,RA 05,,RA 05,RA 05,,RA 05,RA 05,RA 05,RA 05,,RA 05,RA 05,,RA 05,,RA 05,RA 05,,RA 05,,RA 05,,RA 05,,RA 05,,RA 05,,RA 05,RA 05,RA 05,RA 05,,RA 05,,RA 05,,,,RA 05,,RA 05,,RA 05,,,RA 05,RA 05,RA 05,RA 05,RA 05,,RA 05,RA 05,,RA 05,RA 05
RA 06,RA 06,RA 06,RA 06,RA 06,RA 06,,RA 06,RA 06,RA 06,RA 06,RA 06,,RA 06,,RA 06,,RA 06,RA 06,,RA 06,RA 06,RA 06,RA 06,,RA 06,RA 06,,RA 06,,RA 06,RA 06,,RA 06,,RA 06,,RA 06,,RA 06,,RA 06,,RA 06,RA 06,RA 06,RA 06,,RA 06,,RA 06,,,,RA 06,,RA 06,,RA 06,,,RA 06,RA 06,RA 06,RA 06,RA 06,,RA 06,RA 06,,RA 06,RA 06
RA 07,RA 07,RA 07,RA 07,RA 07,RA 07,,RA 07,RA 07,RA 07,RA 07,RA 07,,RA 07,,RA 07,,RA 07,RA 07,,RA 07,RA 07,RA 07,RA 07,,RA 07,RA 07,,RA 07,,RA 07,RA 07,,RA 07,,RA 07,,RA 07,,RA 07,,RA 07,,RA 07,RA 07,RA 07,RA 07,,RA 07,,RA 07,,,,RA 07,,RA 07,,RA 07,,,RA 07,RA 07,RA 07,RA 07,RA 07,,RA 07,RA 07,,RA 07,RA 07
RA 08,RA 08,RA 08,RA 08,RA 08,RA 08,,RA 08,RA 08,RA 08,RA 08,RA 08,,RA 08,,RA 08,,RA 08,RA 08,,RA 08,RA 08,RA 08,RA 08,,RA 08,RA 08,,RA 08,,RA 08,RA 08,,RA 08,,RA 08,,RA 08,,RA 08,,RA 08,,RA 08,RA 08,RA 08,RA 08,,RA 08,,RA 08,,,,RA 08,,RA 08,,RA 08,,,RA 08,RA 08,RA 08,RA 08,RA 08,,RA 08,RA 08,,RA 08,RA 08
RA 09,RA 09,RA 09,RA 09,RA 09,RA 09,,RA 09,RA 09,RA 09,RA 09,RA 09,,RA 09,,RA 09,,RA 09,RA 09,,RA 09,RA 09,RA 09,RA 09,,RA 09,RA 09,,RA 09,,RA 09,RA 09,,RA 09,,RA 09,,RA 09,,RA 09,,RA 09,,RA 09,RA 09,RA 09,RA 09,,RA 09,,RA 09,,,,RA 09,,RA 09,,RA 09,,,RA 09,RA 09,RA 09,RA 09,RA 09,,RA 09,RA 09,,RA 09,RA 09
RA10,RA10,RA10,RA10,RA10,RA10,,RA10,RA10,RA10,RA10,RA10,,RA10,,RA10,,RA10,RA10,,RA10,RA10,RA10,RA10,,RA10,RA10,,RA10,,RA10,RA10,,RA10,,RA10,,RA10,,RA10,,RA10,,RA10,RA10,RA10,RA10,,RA10,,RA10,,,,RA10,,RA10,,RA10,,,RA10,RA10,RA10,RA10,RA10,,RA10,RA10,,RA10,RA10
RAH 01,RAH 01,RAH 01,RAH 01,RAH 01,RAH 01,,RAH 01,RAH 01,RAH 01,RAH 01,RAH 01,,RAH 01,,RAH 01,,RAH 01,RAH 01,,RAH 01,RAH 01,RAH 01,RAH 01,,RAH 01,RAH 01,,RAH 01,,RAH 01,RAH 01,,RAH 01,,RAH 01,,RAH 01,,RAH 01,,RAH 01,,RAH 01,RAH 01,RAH 01,RAH 01,,RAH 01,,RAH 01,,,,RAH 01,,RAH 01,,RAH 01,,,RAH 01,RAH 01,RAH 01,RAH 01,RAH 01,,RAH 01,RAH 01,,RAH 01,RAH 01
RAH 02,RAH 02,RAH 02,RAH 02,RAH 02,RAH 02,,RAH 02,RAH 02,RAH 02,RAH 02,RAH 02,,RAH 02,,RAH 02,,RAH 02,RAH 02,,RAH 02,RAH 02,RAH 02,RAH 02,,RAH 02,RAH 02,,RAH 02,,RAH 02,RAH 02,,RAH 02,,RAH 02,,RAH 02,,RAH 02,,RAH 02,,RAH 02,RAH 02,RAH 02,RAH 02,,RAH 02,,RAH 02,,,,RAH 02,,RAH 02,,RAH 02,,,RAH 02,RAH 02,RAH 02,RAH 02,RAH 02,,RAH 02,RAH 02,,RAH 02,RAH 02
RAH 03,RAH 03,RAH 03,RAH 03,RAH 03,RAH 03,,RAH 03,RAH 03,RAH 03,RAH 03,RAH 03,,RAH 03,,RAH 03,,RAH 03,RAH 03,,RAH 03,RAH 03,RAH 03,RAH 03,,RAH 03,RAH 03,,RAH 03,,RAH 03,RAH 03,,RAH 03,,RAH 03,,RAH 03,,RAH 03,,RAH 03,,RAH 03,RAH 03,RAH 03,RAH 03,,RAH 03,,RAH 03,,,,RAH 03,,RAH 03,,RAH 03,,,RAH 03,RAH 03,RAH 03,RAH 03,RAH 03,,RAH 03,RAH 03,,RAH 03,RAH 03
RAH 04,RAH 04,RAH 04,RAH 04,RAH 04,RAH 04,,RAH 04,RAH 04,RAH 04,RAH 04,RAH 04,,RAH 04,,RAH 04,,RAH 04,RAH 04,,RAH 04,RAH 04,RAH 04,RAH 04,,RAH 04,RAH 04,,RAH 04,,RAH 04,RAH 04,,RAH 04,,RAH 04,,RAH 04,,RAH 04,,RAH 04,,RAH 04,RAH 04,RAH 04,RAH 04,,RAH 04,,RAH 04,,,,RAH 04,,RAH 04,,RAH 04,,,RAH 04,RAH 04,RAH 04,RAH 04,RAH 04,,RAH 04,RAH 04,,RAH 04,RAH 04
RAH 05,RAH 05,RAH 05,RAH 05,RAH 05,RAH 05,,RAH 05,RAH 05,RAH 05,RAH 05,RAH 05,,RAH 05,,RAH 05,,RAH 05,RAH 05,,RAH 05,RAH 05,RAH 05,RAH 05,,RAH 05,RAH 05,,RAH 05,,RAH 05,RAH 05,,RAH 05,,RAH 05,,RAH 05,,RAH 05,,RAH 05,,RAH 05,RAH 05,RAH 05,RAH 05,,RAH 05,,RAH 05,,,,RAH 05,,RAH 05,,RAH 05,,,RAH 05,RAH 05,RAH 05,RAH 05,RAH 05,,RAH 05,RAH 05,,RAH 05,RAH 05
RAH 06,RAH 06,RAH 06,RAH 06,RAH 06,RAH 06,,RAH 06,RAH 06,RAH 06,RAH 06,RAH 06,,RAH 06,,RAH 06,,RAH 06,RAH 06,,RAH 06,RAH 06,RAH 06,RAH 06,,RAH 06,RAH 06,,RAH 06,,RAH 06,RAH 06,,RAH 06,,RAH 06,,RAH 06,,RAH 06,,RAH 06,,RAH 06,RAH 06,RAH 06,RAH 06,,RAH 06,,RAH 06,,,,RAH 06,,RAH 06,,RAH 06,,,RAH 06,RAH 06,RAH 06,RAH 06,RAH 06,,RAH 06,RAH 06,,RAH 06,RAH 06
RAH 07,RAH 07,RAH 07,RAH 07,RAH 07,RAH 07,,RAH 07,RAH 07,RAH 07,RAH 07,RAH 07,,RAH 07,,RAH 07,,RAH 07,RAH 07,,RAH 07,RAH 07,RAH 07,RAH 07,,RAH 07,RAH 07,,RAH 07,,RAH 07,RAH 07,,RAH 07,,RAH 07,,RAH 07,,RAH 07,,RAH 07,,RAH 07,RAH 07,RAH 07,RAH 07,,RAH 07,,RAH 07,,,,RAH 07,,RAH 07,,RAH 07,,,RAH 07,RAH 07,RAH 07,RAH 07,RAH 07,,RAH 07,RAH 07,,RAH 07,RAH 07
