,channel_list
0,EEG AC1
1,EEG AC2
2,EEG AC3
3,EEG AC4
4,EEG AC5
5,EEG AC6
6,EEG AC7
7,EEG AC8
8,EEG AC9
9,EEG AC10
10,EEG AH1
11,EEG AH2
12,EEG AH3
13,EEG AH4
14,EEG AH5
15,EEG AH6
16,EEG AM1
17,EEG AM2
18,EEG AM3
19,EEG AM4
20,EEG AM5
21,EEG AM6
22,EEG IFG1
23,EEG IFG2
24,EEG IFG3
25,EEG IFG4
26,EEG IFG5
27,EEG IFG6
28,EEG MFG1
29,EEG MFG2
30,EEG MFG3
31,EEG MFG4
32,EEG MFG5
33,EEG MFG6
34,EEG MFG7
35,EEG MFG8
36,EEG MFG9
37,EEG MFG10
38,EEG PH1
39,EEG PH2
40,EEG PH3
41,EEG PH4
42,EEG PH5
43,EEG PH6
44,EEG SMA1
45,EEG SMA2
46,EEG SMA3
47,EEG SMA4
48,EEG SMA5
49,EEG SMA6
50,EEG SMA7
51,EEG SMA8
52,EEG TP1
53,EEG TP2
54,EEG TP3
55,EEG TP4
56,EEG TP5
57,EEG TP6
58,EEG TP7
59,EEG TP8
60,EEG LOF1
61,EEG LOF2
62,EEG LOF3
63,EEG LOF4
64,EEG LOF5
65,EEG LOF6
66,EEG LOF7
67,EEG LOF8
68,EEG LOF9
69,EEG LOF10
70,EEG maO1
71,EEG maO2
72,EEG maO3
73,EEG maO4
74,EEG maO5
75,EEG maO6
76,EEG maO7
77,EEG maO8
78,EEG maO9
79,EEG maO10
80,EEG mpO1
81,EEG mpO2
82,EEG mpO3
83,EEG mpO4
84,EEG mpO5
85,EEG mpO6
86,EEG mpO7
87,EEG mpO8
88,EEG mpO9
89,EEG mpO10
90,EEG prS1
91,EEG prS2
92,EEG prS3
93,EEG prS4
94,EEG prS5
95,EEG prS6
96,EEG prS7
97,EEG prS8
98,EEG prS9
99,EEG prS10
