cha_labels,F:\UCLH_GLAS\icEEG\934\W641_1\Patient2t2_11242010190443\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_1\Patient2t2_11242010190443\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_5.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_6.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_7.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_8.edf,F:\UCLH_GLAS\icEEG\934\W641_2\Pruned_11252010161432\Pruned_9.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_3\Patient3t1_11242010190605\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_4\Pruned_11262010181435\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11252010165208\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_1.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_2.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_3.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_4.edf,F:\UCLH_GLAS\icEEG\934\W641_5\Pruned_11262010182128\Pruned_5.edf
G 01,G 01,G 01,G 01,,G 01,G 01,G 01,,G 01,G 01,G 01,G 01,G 01,,G 01,,G 01,G 01,G 01,,G 01,,G 01
G 02,G 02,G 02,G 02,,G 02,G 02,G 02,,G 02,G 02,G 02,G 02,G 02,,G 02,,G 02,G 02,G 02,,G 02,,G 02
G 03,G 03,G 03,G 03,,G 03,G 03,G 03,,G 03,G 03,G 03,G 03,G 03,,G 03,,G 03,G 03,G 03,,G 03,,G 03
G 04,G 04,G 04,G 04,,G 04,G 04,G 04,,G 04,G 04,G 04,G 04,G 04,,G 04,,G 04,G 04,G 04,,G 04,,G 04
G 05,G 05,G 05,G 05,,G 05,G 05,G 05,,G 05,G 05,G 05,G 05,G 05,,G 05,,G 05,G 05,G 05,,G 05,,G 05
G 06,G 06,G 06,G 06,,G 06,G 06,G 06,,G 06,G 06,G 06,G 06,G 06,,G 06,,G 06,G 06,G 06,,G 06,,G 06
G 07,G 07,G 07,G 07,,G 07,G 07,G 07,,G 07,G 07,G 07,G 07,G 07,,G 07,,G 07,G 07,G 07,,G 07,,G 07
G 08,G 08,G 08,G 08,,G 08,G 08,G 08,,G 08,G 08,G 08,G 08,G 08,,G 08,,G 08,G 08,G 08,,G 08,,G 08
G 09,G 09,G 09,G 09,,G 09,G 09,G 09,,G 09,G 09,G 09,G 09,G 09,,G 09,,G 09,G 09,G 09,,G 09,,G 09
G 10,G 10,G 10,G 10,,G 10,G 10,G 10,,G 10,G 10,G 10,G 10,G 10,,G 10,,G 10,G 10,G 10,,G 10,,G 10
G 11,G 11,G 11,G 11,,G 11,G 11,G 11,,G 11,G 11,G 11,G 11,G 11,,G 11,,G 11,G 11,G 11,,G 11,,G 11
G 12,G 12,G 12,G 12,,G 12,G 12,G 12,,G 12,G 12,G 12,G 12,G 12,,G 12,,G 12,G 12,G 12,,G 12,,G 12
G 13,G 13,G 13,G 13,,G 13,G 13,G 13,,G 13,G 13,G 13,G 13,G 13,,G 13,,G 13,G 13,G 13,,G 13,,G 13
G 14,G 14,G 14,G 14,,G 14,G 14,G 14,,G 14,G 14,G 14,G 14,G 14,,G 14,,G 14,G 14,G 14,,G 14,,G 14
G 15,G 15,G 15,G 15,,G 15,G 15,G 15,,G 15,G 15,G 15,G 15,G 15,,G 15,,G 15,G 15,G 15,,G 15,,G 15
G 16,G 16,G 16,G 16,,G 16,G 16,G 16,,G 16,G 16,G 16,G 16,G 16,,G 16,,G 16,G 16,G 16,,G 16,,G 16
G 17,G 17,G 17,G 17,,G 17,G 17,G 17,,G 17,G 17,G 17,G 17,G 17,,G 17,,G 17,G 17,G 17,,G 17,,G 17
G 18,G 18,G 18,G 18,,G 18,G 18,G 18,,G 18,G 18,G 18,G 18,G 18,,G 18,,G 18,G 18,G 18,,G 18,,G 18
G 19,G 19,G 19,G 19,,G 19,G 19,G 19,,G 19,G 19,G 19,G 19,G 19,,G 19,,G 19,G 19,G 19,,G 19,,G 19
G 20,G 20,G 20,G 20,,G 20,G 20,G 20,,G 20,G 20,G 20,G 20,G 20,,G 20,,G 20,G 20,G 20,,G 20,,G 20
G 21,G 21,G 21,G 21,,G 21,G 21,G 21,,G 21,G 21,G 21,G 21,G 21,,G 21,,G 21,G 21,G 21,,G 21,,G 21
G 22,G 22,G 22,G 22,,G 22,G 22,G 22,,G 22,G 22,G 22,G 22,G 22,,G 22,,G 22,G 22,G 22,,G 22,,G 22
G 23,G 23,G 23,G 23,,G 23,G 23,G 23,,G 23,G 23,G 23,G 23,G 23,,G 23,,G 23,G 23,G 23,,G 23,,G 23
G 24,G 24,G 24,G 24,,G 24,G 24,G 24,,G 24,G 24,G 24,G 24,G 24,,G 24,,G 24,G 24,G 24,,G 24,,G 24
G 25,G 25,G 25,G 25,,G 25,G 25,G 25,,G 25,G 25,G 25,G 25,G 25,,G 25,,G 25,G 25,G 25,,G 25,,G 25
G 26,G 26,G 26,G 26,,G 26,G 26,G 26,,G 26,G 26,G 26,G 26,G 26,,G 26,,G 26,G 26,G 26,,G 26,,G 26
G 27,G 27,G 27,G 27,,G 27,G 27,G 27,,G 27,G 27,G 27,G 27,G 27,,G 27,,G 27,G 27,G 27,,G 27,,G 27
G 28,G 28,G 28,G 28,,G 28,G 28,G 28,,G 28,G 28,G 28,G 28,G 28,,G 28,,G 28,G 28,G 28,,G 28,,G 28
G 29,G 29,G 29,G 29,,G 29,G 29,G 29,,G 29,G 29,G 29,G 29,G 29,,G 29,,G 29,G 29,G 29,,G 29,,G 29
G 30,G 30,G 30,G 30,,G 30,G 30,G 30,,G 30,G 30,G 30,G 30,G 30,,G 30,,G 30,G 30,G 30,,G 30,,G 30
G 31,G 31,G 31,G 31,,G 31,G 31,G 31,,G 31,G 31,G 31,G 31,G 31,,G 31,,G 31,G 31,G 31,,G 31,,G 31
G 32,G 32,G 32,G 32,,G 32,G 32,G 32,,G 32,G 32,G 32,G 32,G 32,,G 32,,G 32,G 32,G 32,,G 32,,G 32
G 33,G 33,G 33,G 33,,G 33,G 33,G 33,,G 33,G 33,G 33,G 33,G 33,,G 33,,G 33,G 33,G 33,,G 33,,G 33
G 34,G 34,G 34,G 34,,G 34,G 34,G 34,,G 34,G 34,G 34,G 34,G 34,,G 34,,G 34,G 34,G 34,,G 34,,G 34
G 35,G 35,G 35,G 35,,G 35,G 35,G 35,,G 35,G 35,G 35,G 35,G 35,,G 35,,G 35,G 35,G 35,,G 35,,G 35
G 36,G 36,G 36,G 36,,G 36,G 36,G 36,,G 36,G 36,G 36,G 36,G 36,,G 36,,G 36,G 36,G 36,,G 36,,G 36
G 37,G 37,G 37,G 37,,G 37,G 37,G 37,,G 37,G 37,G 37,G 37,G 37,,G 37,,G 37,G 37,G 37,,G 37,,G 37
