,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\999\X059-10\Patient19t1_06072011091133\Patient19t1_2.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\999\X059_18\Patient19t12_06182011142353\Pruned_2.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_10.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_12.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_14.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_16.edf,sample_rate_1
6,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_18.edf,sample_rate_1
7,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_2.edf,sample_rate_1
8,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_20.edf,sample_rate_1
9,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_4.edf,sample_rate_1
10,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_6.edf,sample_rate_1
11,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t1_06142011174525\Patient19t1_8.edf,sample_rate_1
12,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t8_06122011084932\Patient19t8_2.edf,sample_rate_1
13,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t8_06122011084932\Patient19t8_4.edf,sample_rate_1
14,F:\UCLH_GLAS\icEEG\999\X059_19\Patient19t8_06122011084932\Patient19t8_8.edf,sample_rate_1
15,F:\UCLH_GLAS\icEEG\999\X059_23\Patient20t8_06172011124930\Patient20t8_2.edf,sample_rate_1
16,F:\UCLH_GLAS\icEEG\999\X059_24\Patient20t9_06172011184941\Patient20t9_4.edf,sample_rate_1
17,F:\UCLH_GLAS\icEEG\999\X059_24\Patient20t9_06172011184941\Patient20t9_6.edf,sample_rate_1
18,F:\UCLH_GLAS\icEEG\999\X059_24\Patient20t9_06172011184941\Patient20t9_8.edf,sample_rate_1
19,F:\UCLH_GLAS\icEEG\999\X059_26\Patient20t13_06182011185039\Patient20t13_2.edf,sample_rate_1
20,F:\UCLH_GLAS\icEEG\999\X059_26\Patient20t13_06182011185039\Patient20t13_4.edf,sample_rate_1
21,F:\UCLH_GLAS\icEEG\999\X059_26\Patient20t13_06182011185039\Patient20t13_6.edf,sample_rate_1
