cha_labels,F:\UCLH_GLAS\icEEG\GLAS040\SPES~ 270711_87d5e4aa-91a5-4623-83e0-3ba9e909414e.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_1ddc736c-248b-4330-ad86-1e7258defcef.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_5cd84dd9-a3d9-4779-9305-485671198a33.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_695c1a00-f374-4089-b928-2a5528d85951.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_70a9a544-14a8-4484-ad64-d2a4b43b1279.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_796e983e-cbc1-472f-9705-e8b1fc70ae38.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_88ccb1a6-3fc5-4232-9e9b-db6669150eaa.edf,F:\UCLH_GLAS\icEEG\GLAS040\Xxxxxx~ Xxxxxx_f395f423-22d8-472b-b27e-fd6fa598856c.edf
Event,Event,Event,Event,Event,Event,Event,Event,Event
AL1,AL1,AL1,,AL1,AL1,AL1,AL1,
AL2,AL2,AL2,,AL2,AL2,AL2,AL2,
AL3,AL3,AL3,,AL3,AL3,AL3,AL3,
AL4,AL4,AL4,,AL4,AL4,AL4,AL4,
AL5,AL5,AL5,,AL5,AL5,AL5,AL5,
AL6,AL6,AL6,,AL6,AL6,AL6,AL6,
AL7,AL7,AL7,,AL7,AL7,AL7,AL7,
AL8,AL8,AL8,,AL8,AL8,AL8,AL8,
AL9,AL9,AL9,,AL9,AL9,AL9,AL9,
AL10,AL10,AL10,,AL10,AL10,AL10,AL10,
ML1,ML1,ML1,,ML1,ML1,ML1,ML1,
ML2,ML2,ML2,,ML2,ML2,ML2,ML2,
ML3,ML3,ML3,,ML3,ML3,ML3,ML3,
ML4,ML4,ML4,,ML4,ML4,ML4,ML4,
ML5,ML5,ML5,,ML5,ML5,ML5,ML5,
ML6,ML6,ML6,,ML6,ML6,ML6,ML6,
ML7,ML7,ML7,,ML7,ML7,ML7,ML7,
ML8,ML8,ML8,,ML8,ML8,ML8,ML8,
ML9,ML9,ML9,,ML9,ML9,ML9,ML9,
ML10,ML10,ML10,,ML10,ML10,ML10,ML10,
SL1,SL1,SL1,,SL1,SL1,SL1,SL1,
SL2,SL2,SL2,,SL2,SL2,SL2,SL2,
SL3,SL3,SL3,,SL3,SL3,SL3,SL3,
SL4,SL4,SL4,,SL4,SL4,SL4,SL4,
SL5,SL5,SL5,,SL5,SL5,SL5,SL5,
SL6,SL6,SL6,,SL6,SL6,SL6,SL6,
SL7,SL7,SL7,,SL7,SL7,SL7,SL7,
SL8,SL8,SL8,,SL8,SL8,SL8,SL8,
SL9,SL9,SL9,,SL9,SL9,SL9,SL9,
SL10,SL10,SL10,,SL10,SL10,SL10,SL10,
PM1,PM1,PM1,,PM1,PM1,PM1,PM1,
PM2,PM2,PM2,,PM2,PM2,PM2,PM2,
PM3,PM3,PM3,,PM3,PM3,PM3,PM3,
PM4,PM4,PM4,,PM4,PM4,PM4,PM4,
PM5,PM5,PM5,,PM5,PM5,PM5,PM5,
PM6,PM6,PM6,,PM6,PM6,PM6,PM6,
PM7,PM7,PM7,,PM7,PM7,PM7,PM7,
PM8,PM8,PM8,,PM8,PM8,PM8,PM8,
PM9,PM9,PM9,,PM9,PM9,PM9,PM9,
PM10,PM10,PM10,,PM10,PM10,PM10,PM10,
MC1,MC1,MC1,,MC1,MC1,MC1,MC1,
MC2,MC2,MC2,,MC2,MC2,MC2,MC2,
MC3,MC3,MC3,,MC3,MC3,MC3,MC3,
MC4,MC4,MC4,,MC4,MC4,MC4,MC4,
MC5,MC5,MC5,,MC5,MC5,MC5,MC5,
MC6,MC6,MC6,,MC6,MC6,MC6,MC6,
MC7,MC7,MC7,,MC7,MC7,MC7,MC7,
MC8,MC8,MC8,,MC8,MC8,MC8,MC8,
MC9,MC9,MC9,,MC9,MC9,MC9,MC9,
MC10,MC10,MC10,,MC10,MC10,MC10,MC10,
SMA1,SMA1,SMA1,,SMA1,SMA1,SMA1,SMA1,
SMA2,SMA2,SMA2,,SMA2,SMA2,SMA2,SMA2,
