,channel_list
0,RMH1
1,RMH2
2,RMH3
3,RMH4
4,RMH5
5,RMH6
6,RMH7
7,RMH8
8,RMH9
9,RMH10
10,TP0J1
11,TP0J2
12,TP0J3
13,TP0J4
14,TP0J5
15,TP0J6
16,TP0J7
17,TP0J8
18,TP0J9
19,TP0J10
20,LSUP1
21,LSUP2
22,LSUP3
23,LSUP4
24,LSUP5
25,LSUP6
26,LSUP7
27,LSUP8
28,LINF1
29,LINF2
30,LINF3
31,LINF4
32,LINF5
33,LINF6
34,LPOS1
35,LPOS2
36,LPOS3
37,LPOS4
38,LPOS5
39,LPOS6
40,LPOS7
41,LPOS8
42,LAI1
43,LAI2
44,LAI3
45,LAI4
46,LAI5
47,LAI6
48,LAI7
49,LAI8
50,LAS1
51,LAS2
52,LAS3
53,LAS4
54,LAS5
55,LAS6
56,LAS7
57,LAS8
58,LAS9
59,LPH1
60,LPH2
61,LPH3
62,LPH4
63,LPH5
64,LPH6
65,LPH7
66,LPH8
67,LPH9
68,LPH10
69,LAH1
70,LAH2
71,LAH3
72,LAH4
73,LAH5
74,LAH6
75,LAH7
76,LAH8
77,LAH9
78,LAH10
