,channelsKeep
0,ASMA1
1,ASMA2
2,ASMA3
3,ASMA4
4,ASMA5
5,ASMA6
6,CING1
7,CING10
8,CING2
9,CING3
10,CING4
11,CING5
12,CING6
13,CING7
14,CING8
15,CING9
16,INS1
17,INS10
18,INS2
19,INS3
20,INS4
21,INS5
22,INS6
23,INS7
24,INS8
25,INS9
26,MFG1
27,MFG10
28,MFG2
29,MFG3
30,MFG4
31,MFG5
32,MFG6
33,MFG7
34,MFG8
35,MFG9
36,MOT1
37,MOT10
38,MOT2
39,MOT3
40,MOT4
41,MOT5
42,MOT6
43,MOT7
44,MOT8
45,MOT9
46,PAR1
47,PAR10
48,PAR2
49,PAR3
50,PAR4
51,PAR5
52,PAR6
53,PAR7
54,PAR8
55,PAR9
56,PSMA1
57,PSMA2
58,PSMA3
59,PSMA4
60,PSMA5
61,PSMA6
62,RSMA1
63,RSMA10
64,RSMA2
65,RSMA3
66,RSMA4
67,RSMA5
68,RSMA6
69,RSMA7
70,RSMA8
71,RSMA9
72,SEN1
73,SEN10
74,SEN2
75,SEN3
76,SEN4
77,SEN5
78,SEN6
79,SEN7
80,SEN8
81,SEN9
82,TEMP1
83,TEMP10
84,TEMP2
85,TEMP3
86,TEMP4
87,TEMP5
88,TEMP6
89,TEMP7
90,TEMP8
91,TEMP9
