cha_labels,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_97d30c14-8ed7-4b1e-b930-ddc50dc7133f.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_bb15db22-5c04-49d3-8034-b3f131f3c9d9.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_c5d8db0e-fef4-4aed-9060-1e1c72e8720c.edf,F:\UCLH_GLAS\icEEG\GLAS047\Xxxxxx~ Xxxxxx_eeb1b4ca-5a74-41c3-8ec0-7602f6749628.edf
Event,Event,Event,Event,Event
C1,C1,,,C1
C2,C2,,,C2
C3,C3,,,C3
C4,C4,,,C4
C5,C5,,,C5
C6,C6,,,C6
C7,C7,,,C7
C8,C8,,,C8
C9,C9,,,C9
C10,C10,,,C10
C11,C11,,,C11
C12,C12,,,C12
C13,C13,,,C13
C14,C14,,,C14
C15,C15,,,C15
C16,C16,,,C16
C17,C17,,,C17
C18,C18,,,C18
C19,C19,,,C19
C20,C20,,,C20
C21,C21,,,C21
C22,C22,,,C22
C23,C23,,,C23
C24,C24,,,C24
C25,C25,,,C25
C26,C26,,,C26
C27,C27,,,C27
C28,C28,,,C28
C29,C29,,,C29
C30,C30,,,C30
C31,C31,,,C31
C32,C32,,,C32
C33,C33,,,C33
C34,C34,,,C34
C35,C35,,,C35
C36,C36,,,C36
C37,C37,,,C37
C38,C38,,,C38
C39,C39,,,C39
C40,C40,,,C40
C41,C41,,,C41
C42,C42,,,C42
C43,C43,,,C43
C44,C44,,,C44
C45,C45,,,C45
C46,C46,,,C46
C47,C47,,,C47
C48,C48,,,C48
C49,C49,,,C49
C50,C50,,,C50
C51,C51,,,C51
C52,C52,,,C52
C53,C53,,,C53
C54,C54,,,C54
C55,C55,,,C55
C56,C56,,,C56
C57,C57,,,C57
C58,C58,,,C58
C59,C59,,,C59
C60,C60,,,C60
C61,C61,,,C61
C62,C62,,,C62
C63,C63,,,C63
C64,C64,,,C64
C65,C65,,,C65
C66,C66,,,C66
C67,C67,,,C67
C68,C68,,,C68
C69,C69,,,C69
C70,C70,,,C70
C71,C71,,,C71
C72,C72,,,C72
C73,C73,,,C73
C74,C74,,,C74
C75,C75,,,C75
C76,C76,,,C76
C77,C77,,,C77
C78,C78,,,C78
C79,C79,,,C79
C80,C80,,,C80
C81,C81,,,C81
C82,C82,,,C82
C83,C83,,,C83
C84,C84,,,C84
C85,C85,,,C85
C86,C86,,,C86
C87,C87,,,C87
C88,C88,,,C88
C89,C89,,,C89
C90,C90,,,C90
C91,C91,,,C91
C92,C92,,,C92
C93,C93,,,C93
C94,C94,,,C94
C95,C95,C95,C95,C95
C96,C96,C96,C96,C96
C97,C97,C97,C97,C97
C98,C98,C98,C98,C98
C99,C99,C99,C99,C99
C100,C100,C100,C100,C100
C101,C101,C101,C101,C101
C102,C102,C102,C102,C102
C103,C103,C103,C103,C103
C104,C104,C104,C104,C104
C105,C105,C105,C105,C105
C106,C106,C106,C106,C106
C107,C107,C107,C107,C107
C108,C108,C108,C108,C108
C109,C109,C109,C109,C109
C110,C110,C110,C110,C110
C111,C111,C111,C111,C111
C112,C112,C112,C112,C112
C113,C113,C113,C113,C113
C114,C114,C114,C114,C114
C115,C115,C115,C115,C115
C116,C116,C116,C116,C116
C117,C117,C117,C117,C117
C118,C118,C118,C118,C118
C119,C119,C119,C119,C119
C120,C120,C120,C120,C120
C121,C121,C121,C121,C121
C122,C122,C122,C122,C122
C123,C123,C123,C123,C123
C124,C124,C124,C124,C124
C125,C125,C125,C125,C125
C126,C126,C126,C126,C126
C127,C127,C127,C127,C127
C128,C128,C128,C128,C128
DC1,DC1,DC1,DC1,DC1
DC2,DC2,DC2,DC2,DC2
DC3,DC3,DC3,DC3,DC3
DC4,DC4,DC4,DC4,DC4
DC5,DC5,DC5,DC5,DC5
DC6,DC6,DC6,DC6,DC6
DC7,DC7,DC7,DC7,DC7
DC8,DC8,DC8,DC8,DC8
DC9,DC9,DC9,DC9,DC9
DC10,DC10,DC10,DC10,DC10
DC11,DC11,DC11,DC11,DC11
DC12,DC12,DC12,DC12,DC12
DC13,DC13,DC13,DC13,DC13
DC14,DC14,DC14,DC14,DC14
DC15,DC15,DC15,DC15,DC15
DC16,DC16,DC16,DC16,DC16
TRIG,TRIG,TRIG,TRIG,TRIG
SpO2,SpO2,,,SpO2
PR,PR,PR,PR,PR
Pleth,Pleth,Pleth,Pleth,Pleth
ASMA1,,ASMA1,ASMA1,
ASMA2,,ASMA2,ASMA2,
ASMA3,,ASMA3,ASMA3,
ASMA4,,ASMA4,ASMA4,
ASMA5,,ASMA5,ASMA5,
ASMA6,,ASMA6,ASMA6,
PSMA1,,PSMA1,PSMA1,
PSMA2,,PSMA2,PSMA2,
PSMA3,,PSMA3,PSMA3,
PSMA4,,PSMA4,PSMA4,
PSMA5,,PSMA5,PSMA5,
PSMA6,,PSMA6,PSMA6,
CING1,,CING1,CING1,
CING2,,CING2,CING2,
CING3,,CING3,CING3,
CING4,,CING4,CING4,
CING5,,CING5,CING5,
CING6,,CING6,CING6,
CING7,,CING7,CING7,
CING8,,CING8,CING8,
CING9,,CING9,CING9,
CING10,,CING10,CING10,
MFG1,,MFG1,MFG1,
MFG2,,MFG2,MFG2,
MFG3,,MFG3,MFG3,
MFG4,,MFG4,MFG4,
MFG5,,MFG5,MFG5,
MFG6,,MFG6,MFG6,
MFG7,,MFG7,MFG7,
MFG8,,MFG8,MFG8,
MFG9,,MFG9,MFG9,
MFG10,,MFG10,MFG10,
MOT1,,MOT1,MOT1,
MOT2,,MOT2,MOT2,
MOT3,,MOT3,MOT3,
