,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1149\X889_1\Patient24_LTM-FEBRUARY_t1_02042013191735\Pruned_2.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_2.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\1149\X889_15\Pruned_04162013161915\Pruned_4.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_2.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_4.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t3_04152013163511\Pruned_6.edf,sample_rate_1
6,F:\UCLH_GLAS\icEEG\1149\X889_17\Patient25_LTM-FEBRUARY_t5_12142012101251\Patient25_LTM-FEBRUARY_t5_2.edf,sample_rate_1
7,F:\UCLH_GLAS\icEEG\1149\X889_3\Patient24_LTM-FEBRUARY_t3_02052013090447\Pruned_2.edf,sample_rate_1
8,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_2.edf,sample_rate_1
9,F:\UCLH_GLAS\icEEG\1149\X889_4\Patient24_LTM-FEBRUARY_t4_04082013110029\Pruned_4.edf,sample_rate_1
10,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_2.edf,sample_rate_1
11,F:\UCLH_GLAS\icEEG\1149\X889_5\Patient24_LTM-FEBRUARY_t5_04082013114416\Pruned_4.edf,sample_rate_1
