cha_labels,F:\UCLH_GLAS\icEEG\1163\X932_1\Patient26_LTM-FEBRUARY_t3_01302013034930\Patient26_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_2.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_3.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_4.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_5.edf,F:\UCLH_GLAS\icEEG\1163\X932_10\Patient26_LTM-FEBRUARY_t1_01212013161023\Patient26_LTM-FEBRUARY_t1_6.edf,F:\UCLH_GLAS\icEEG\1163\X932_11\Patient26_LTM-FEBRUARY_t25_02192013142847\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_12\Pruned_02192013142945\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_13\Pruned_02192013145857\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_14\Patient26_LTM-FEBRUARY_t24_02192013134604\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_15\Patient27_LTM-FEBRUARY_t2_01282013212238\Patient27_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_16\Patient26_LTM-FEBRUARY_t11_01242013230138\Patient26_LTM-FEBRUARY_t11_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_17\Patient26_LTM-FEBRUARY_t2_01222013165827\Patient26_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_18\Patient26_LTM-FEBRUARY_t6_01232013165956\Patient26_LTM-FEBRUARY_t6_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_19\Patient26_LTM-FEBRUARY_t17_01262013110328\Patient26_LTM-FEBRUARY_t17_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_2\Patient26_LTM-FEBRUARY_t4_01302013094946\Patient26_LTM-FEBRUARY_t4_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_20\Patient26_LTM-FEBRUARY_t3_01222013225848\Patient26_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_21\Patient26_LTM-FEBRUARY_t14_01252013170229\Patient26_LTM-FEBRUARY_t14_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_22\Patient26_LTM-FEBRUARY_t16_01262013050312\Patient26_LTM-FEBRUARY_t16_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_2.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_3.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_4.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_5.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_6.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_7.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_8.edf,F:\UCLH_GLAS\icEEG\1163\X932_23\Patient26_LTM-FEBRUARY_t5_01232013105920\Patient26_LTM-FEBRUARY_t5_9.edf,F:\UCLH_GLAS\icEEG\1163\X932_24\Patient26_LTM-FEBRUARY_t9_01242013110043\Patient26_LTM-FEBRUARY_t9_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_25\Patient26_LTM-FEBRUARY_t15_01252013230259\Patient26_LTM-FEBRUARY_t15_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_26\Patient26_LTM-FEBRUARY_t7_01232013230014\Patient26_LTM-FEBRUARY_t7_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_27\Patient26_LTM-FEBRUARY_t4_01232013045904\Patient26_LTM-FEBRUARY_t4_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_28\Patient27_LTM-FEBRUARY_t3_01292013032255\Patient27_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_2.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_3.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_4.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_5.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_6.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_8.edf,F:\UCLH_GLAS\icEEG\1163\X932_29\Patient27_LTM-FEBRUARY_t4_01292013092312\Patient27_LTM-FEBRUARY_t4_9.edf,F:\UCLH_GLAS\icEEG\1163\X932_3\Patient26_LTM-FEBRUARY_t19_02192013100703\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_30\Patient26_LTM-FEBRUARY_t8_01242013050028\Patient26_LTM-FEBRUARY_t8_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_31\Patient26_LTM-FEBRUARY_t18_01262013170345\Patient26_LTM-FEBRUARY_t18_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_2.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_3.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_4.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_5.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_6.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_7.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_8.edf,F:\UCLH_GLAS\icEEG\1163\X932_32\Patient27_LTM-FEBRUARY_t1_01282013152157\Patient27_LTM-FEBRUARY_t1_9.edf,F:\UCLH_GLAS\icEEG\1163\X932_33\Patient26_LTM-FEBRUARY_t2_01292013214911\Patient26_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_34\Patient26_LTM-FEBRUARY_t1_01292013154833\Patient26_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_4\Patient26_LTM-FEBRUARY_t20_02192013105623\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_5\Patient26_LTM-FEBRUARY_t10_01242013170104\Patient26_LTM-FEBRUARY_t10_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_6\Patient26_LTM-FEBRUARY_t12_01252013050153\Patient26_LTM-FEBRUARY_t12_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_7\Patient26_LTM-FEBRUARY_t13_01252013110208\Patient26_LTM-FEBRUARY_t13_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_8\Patient26_LTM-FEBRUARY_t23_02192013122058\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1163\X932_9\Patient26_LTM-FEBRUARY_t22_02192013112558\Pruned_1.edf
SF 01,SF 01,SF 01,SF 01,,SF 01,,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,,SF 01,,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,,SF 01,,SF 01,,,SF 01,SF 01,SF 01,SF 01,SF 01,,SF 01,,SF 01,,,SF 01,,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01,SF 01
SF 02,SF 02,SF 02,SF 02,,SF 02,,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,,SF 02,,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,,SF 02,,SF 02,,,SF 02,SF 02,SF 02,SF 02,SF 02,,SF 02,,SF 02,,,SF 02,,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02,SF 02
SF 03,SF 03,SF 03,SF 03,,SF 03,,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,,SF 03,,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,,SF 03,,SF 03,,,SF 03,SF 03,SF 03,SF 03,SF 03,,SF 03,,SF 03,,,SF 03,,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03,SF 03
SF 04,SF 04,SF 04,SF 04,,SF 04,,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,,SF 04,,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,,SF 04,,SF 04,,,SF 04,SF 04,SF 04,SF 04,SF 04,,SF 04,,SF 04,,,SF 04,,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04,SF 04
SF 05,SF 05,SF 05,SF 05,,SF 05,,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,,SF 05,,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,,SF 05,,SF 05,,,SF 05,SF 05,SF 05,SF 05,SF 05,,SF 05,,SF 05,,,SF 05,,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05,SF 05
SF 06,SF 06,SF 06,SF 06,,SF 06,,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,,SF 06,,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,,SF 06,,SF 06,,,SF 06,SF 06,SF 06,SF 06,SF 06,,SF 06,,SF 06,,,SF 06,,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06,SF 06
SF 07,SF 07,SF 07,SF 07,,SF 07,,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,,SF 07,,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,,SF 07,,SF 07,,,SF 07,SF 07,SF 07,SF 07,SF 07,,SF 07,,SF 07,,,SF 07,,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07,SF 07
SF 08,SF 08,SF 08,SF 08,,SF 08,,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,,SF 08,,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,,SF 08,,SF 08,,,SF 08,SF 08,SF 08,SF 08,SF 08,,SF 08,,SF 08,,,SF 08,,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08,SF 08
GA 09,GA 09,GA 09,GA 09,,GA 09,,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,,GA 09,,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,,GA 09,,GA 09,,,GA 09,GA 09,GA 09,GA 09,GA 09,,GA 09,,GA 09,,,GA 09,,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09,GA 09
GA 10,GA 10,GA 10,GA 10,,GA 10,,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,,GA 10,,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,,GA 10,,GA 10,,,GA 10,GA 10,GA 10,GA 10,GA 10,,GA 10,,GA 10,,,GA 10,,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10,GA 10
GA 11,GA 11,GA 11,GA 11,,GA 11,,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,,GA 11,,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,,GA 11,,GA 11,,,GA 11,GA 11,GA 11,GA 11,GA 11,,GA 11,,GA 11,,,GA 11,,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11,GA 11
GA 12,GA 12,GA 12,GA 12,,GA 12,,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,,GA 12,,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,,GA 12,,GA 12,,,GA 12,GA 12,GA 12,GA 12,GA 12,,GA 12,,GA 12,,,GA 12,,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12,GA 12
GA 13,GA 13,GA 13,GA 13,,GA 13,,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,,GA 13,,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,,GA 13,,GA 13,,,GA 13,GA 13,GA 13,GA 13,GA 13,,GA 13,,GA 13,,,GA 13,,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13,GA 13
GA 14,GA 14,GA 14,GA 14,,GA 14,,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,,GA 14,,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,,GA 14,,GA 14,,,GA 14,GA 14,GA 14,GA 14,GA 14,,GA 14,,GA 14,,,GA 14,,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14,GA 14
GA 15,GA 15,GA 15,GA 15,,GA 15,,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,,GA 15,,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,,GA 15,,GA 15,,,GA 15,GA 15,GA 15,GA 15,GA 15,,GA 15,,GA 15,,,GA 15,,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15,GA 15
GA 16,GA 16,GA 16,GA 16,,GA 16,,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,,GA 16,,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,,GA 16,,GA 16,,,GA 16,GA 16,GA 16,GA 16,GA 16,,GA 16,,GA 16,,,GA 16,,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16,GA 16
GA 18,GA 18,GA 18,GA 18,,GA 18,,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,,GA 18,,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,,GA 18,,GA 18,,,GA 18,GA 18,GA 18,GA 18,GA 18,,GA 18,,GA 18,,,GA 18,,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18,GA 18
