,channel_list
0,D1 01
1,D1 02
2,D1 03
3,D1 04
4,D2 01
5,D2 02
6,D2 03
7,D2 04
8,D2 05
9,D2 06
10,GA  01
11,GA  02
12,GA  03
13,GA  04
14,GA  05
15,GA  06
16,GA  07
17,GA  08
18,GA  09
19,GA  10
20,GA  11
21,GA  12
22,GA  13
23,GA  14
24,GA  15
25,GA  16
26,GA  17
27,GA  18
28,GA  19
29,GA  20
30,GA  21
31,GA  22
32,GA  23
33,GA  24
34,GA  25
35,GA  26
36,GA  27
37,GA  28
38,GA  29
39,GA  30
40,GA  31
41,GA  32
42,GA  33
43,GA  34
44,GA  35
45,GA  36
46,GA  37
47,GA  38
48,GA  39
49,GA  40
50,GA  41
51,GA  42
52,GA  43
53,GA  44
54,GA  45
55,GA  46
56,GA  47
57,GA  48
