cha_labels,F:\UCLH_GLAS\icEEG\1167\X952-10\Patient28_LTM-FEBRUARY_t3_02082013070228\Patient28_LTM-FEBRUARY_t3_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-11\Patient28_LTM-FEBRUARY_t4_02082013130248\Patient28_LTM-FEBRUARY_t4_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-13\Patient28_LTM-FEBRUARY_t5_03022013103006\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-15\Patient28_LTM-FEBRUARY_t6_03022013105313\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-16\Patient28_LTM-FEBRUARY_t11_03022013111455\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-18\Patient28_LTM-FEBRUARY_t8_03022013110908\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-21\Patient28_LTM-FEBRUARY_t9_03022013133610\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-5\Patient28_LTM-FEBRUARY_t6_02062013174807\Patient28_LTM-FEBRUARY_t6_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-6\Patient28_LTM-FEBRUARY_t2_02082013010214\Patient28_LTM-FEBRUARY_t2_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-7\Patient28_LTM-FEBRUARY_t5_02062013114752\Patient28_LTM-FEBRUARY_t5_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-8\Patient28_LTM-FEBRUARY_t7_02062013234820\Patient28_LTM-FEBRUARY_t7_1.edf,F:\UCLH_GLAS\icEEG\1167\X952-9\Patient28_LTM-FEBRUARY_t1_02072013190146\Patient28_LTM-FEBRUARY_t1_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_12\Pruned_03022013102757\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_14\Pruned_03022013104930\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_14\Pruned_03022013104930\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1167\X952_14\Pruned_03022013104930\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1167\X952_17\Patient26_LTM-FEBRUARY_t1_03022013114720\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_19\Patient28_LTM-FEBRUARY_t10_03022013150649\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_2\Patient28_LTM-FEBRUARY_t2_02272013154525\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_20\Patient43_LTM-NOVEMBER_t1_03022013134335\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_20\Patient43_LTM-NOVEMBER_t1_03022013134335\Pruned_2.edf,F:\UCLH_GLAS\icEEG\1167\X952_20\Patient43_LTM-NOVEMBER_t1_03022013134335\Pruned_3.edf,F:\UCLH_GLAS\icEEG\1167\x952_22\Patient28_LTM-FEBRUARY_t7_03022013133326\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_3\Patient28_LTM-FEBRUARY_t3_02272013155958\Pruned_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_4\Patient28_LTM-FEBRUARY_t4_02062013054736\Patient28_LTM-FEBRUARY_t4_1.edf,F:\UCLH_GLAS\icEEG\1167\X952_4\Patient28_LTM-FEBRUARY_t4_02062013054736\Patient28_LTM-FEBRUARY_t4_2.edf,F:\UCLH_GLAS\icEEG\1167\X966+\Patient10_LTM-MARCH_t1_02132013095416\Pruned_1.edf
D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,,D1 01,D1 01,D1 01,D1 01,,D1 01,D1 01,D1 01,D1 01,D1 01,D1 01,
D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,,D1 02,D1 02,D1 02,D1 02,,D1 02,D1 02,D1 02,D1 02,D1 02,D1 02,
D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,,D1 03,D1 03,D1 03,D1 03,,D1 03,D1 03,D1 03,D1 03,D1 03,D1 03,
D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,,D1 04,D1 04,D1 04,D1 04,,D1 04,D1 04,D1 04,D1 04,D1 04,D1 04,
D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,,D2 01,D2 01,D2 01,D2 01,,D2 01,D2 01,D2 01,D2 01,D2 01,D2 01,
D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,,D2 02,D2 02,D2 02,D2 02,,D2 02,D2 02,D2 02,D2 02,D2 02,D2 02,
D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,,D2 03,D2 03,D2 03,D2 03,,D2 03,D2 03,D2 03,D2 03,D2 03,D2 03,
D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,,D2 04,D2 04,D2 04,D2 04,,D2 04,D2 04,D2 04,D2 04,D2 04,D2 04,
D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,,D2 05,D2 05,D2 05,D2 05,,D2 05,D2 05,D2 05,D2 05,D2 05,D2 05,
D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,,D2 06,D2 06,D2 06,D2 06,,D2 06,D2 06,D2 06,D2 06,D2 06,D2 06,
GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,GA  01,,GA  01,GA  01,GA  01,,,GA  01,GA  01,GA  01,,,GA  01,
GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,GA  02,,GA  02,GA  02,GA  02,,,GA  02,GA  02,GA  02,,,GA  02,
GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,GA  03,,GA  03,GA  03,GA  03,,,GA  03,GA  03,GA  03,,,GA  03,
GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,,GA  08,GA  08,GA  08,GA  08,,GA  08,GA  08,GA  08,GA  08,GA  08,GA  08,
GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,,GA  09,GA  09,GA  09,GA  09,,GA  09,GA  09,GA  09,GA  09,GA  09,GA  09,
GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,,GA  10,GA  10,GA  10,GA  10,,GA  10,GA  10,GA  10,GA  10,GA  10,GA  10,
GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,,GA  11,GA  11,GA  11,GA  11,,GA  11,GA  11,GA  11,GA  11,GA  11,GA  11,
