cha_labels,F:\UCLH_GLAS\icEEG\1395\20150620_1044.edf,F:\UCLH_GLAS\icEEG\1395\20150620_1157.edf,F:\UCLH_GLAS\icEEG\1395\20150620_1729.edf,F:\UCLH_GLAS\icEEG\1395\20150620_2329.edf,F:\UCLH_GLAS\icEEG\1395\20150621_0529.edf,F:\UCLH_GLAS\icEEG\1395\20150621_1129.edf,F:\UCLH_GLAS\icEEG\1395\20150621_2329.edf,F:\UCLH_GLAS\icEEG\1395\20150622_0529.edf,F:\UCLH_GLAS\icEEG\1395\20150622_1129.edf,F:\UCLH_GLAS\icEEG\1395\20150622_1255.edf,F:\UCLH_GLAS\icEEG\1395\20150622_1407.edf,F:\UCLH_GLAS\icEEG\1395\20150622_2007.edf,F:\UCLH_GLAS\icEEG\1395\20150623_0207.edf,F:\UCLH_GLAS\icEEG\1395\20150623_0806.edf,F:\UCLH_GLAS\icEEG\1395\20150623_1406.edf,F:\UCLH_GLAS\icEEG\1395\20150623_2006.edf,F:\UCLH_GLAS\icEEG\1395\20150624_0206.edf,F:\UCLH_GLAS\icEEG\1395\20150624_0806.edf,F:\UCLH_GLAS\icEEG\1395\20150624_1406.edf,F:\UCLH_GLAS\icEEG\1395\20150624_2006.edf,F:\UCLH_GLAS\icEEG\1395\20150625_0206.edf,F:\UCLH_GLAS\icEEG\1395\20150625_0806.edf,F:\UCLH_GLAS\icEEG\1395\20150625_1406.edf,F:\UCLH_GLAS\icEEG\1395\20150625_2006.edf,F:\UCLH_GLAS\icEEG\1395\20150626_0206.edf,F:\UCLH_GLAS\icEEG\1395\20150626_0806.edf,F:\UCLH_GLAS\icEEG\1395\20150626_1240.edf,F:\UCLH_GLAS\icEEG\1395\20150626_1350.edf
EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1,EEG AM1
EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2,EEG AM2
EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3,EEG AM3
EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4,EEG AM4
EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5,EEG AM5
EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6,EEG AM6
EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1,EEG AH1
EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2,EEG AH2
EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3,EEG AH3
