,channelsKeep
0,G1
1,G10
2,G11
3,G12
4,G13
5,G14
6,G15
7,G16
8,G17
9,G18
10,G19
11,G2
12,G20
13,G21
14,G22
15,G23
16,G24
17,G25
18,G26
19,G27
20,G28
21,G29
22,G3
23,G30
24,G31
25,G32
26,G33
27,G34
28,G35
29,G36
30,G37
31,G38
32,G39
33,G4
34,G40
35,G41
36,G42
37,G43
38,G44
39,G45
40,G46
41,G47
42,G48
43,G5
44,G6
45,G7
46,G8
47,G9
48,IT1
49,IT10
50,IT11
51,IT12
52,IT13
53,IT14
54,IT15
55,IT16
56,IT2
57,IT3
58,IT4
59,IT5
60,IT6
61,IT7
62,IT8
63,IT9
64,LF5
65,LF6
66,S1
67,S2
68,S3
69,S4
70,S5
71,S6
