,channelsKeep
0,LAH1
1,LAH10
2,LAH2
3,LAH3
4,LAH4
5,LAH5
6,LAH6
7,LAH7
8,LAH8
9,LAH9
10,LAI1
11,LAI2
12,LAI3
13,LAI4
14,LAI5
15,LAI6
16,LAI7
17,LAI8
18,LAS1
19,LAS2
20,LAS3
21,LAS4
22,LAS5
23,LAS6
24,LAS7
25,LAS8
26,LAS9
27,LINF1
28,LINF2
29,LINF3
30,LINF4
31,LINF5
32,LINF6
33,LPH1
34,LPH10
35,LPH2
36,LPH3
37,LPH4
38,LPH5
39,LPH6
40,LPH7
41,LPH8
42,LPH9
43,LPOS1
44,LPOS2
45,LPOS3
46,LPOS4
47,LPOS5
48,LPOS6
49,LPOS7
50,LPOS8
51,LSUP1
52,LSUP2
53,LSUP3
54,LSUP4
55,LSUP5
56,LSUP6
57,LSUP7
58,LSUP8
59,RMH1
60,RMH10
61,RMH2
62,RMH3
63,RMH4
64,RMH5
65,RMH6
66,RMH7
67,RMH8
68,RMH9
69,TP0J1
70,TP0J10
71,TP0J2
72,TP0J3
73,TP0J4
74,TP0J5
75,TP0J6
76,TP0J7
77,TP0J8
78,TP0J9
