,channel_list
0,ASMA1
1,ASMA2
2,ASMA3
3,ASMA4
4,ASMA5
5,ASMA6
6,PSMA1
7,PSMA2
8,PSMA3
9,PSMA4
10,PSMA5
11,PSMA6
12,CING1
13,CING2
14,CING3
15,CING4
16,CING5
17,CING6
18,CING7
19,CING8
20,CING9
21,CING10
22,MFG1
23,MFG2
24,MFG3
25,MFG4
26,MFG5
27,MFG6
28,MFG7
29,MFG8
30,MFG9
31,MFG10
32,MOT1
33,MOT2
34,MOT3
35,MOT4
36,MOT5
37,MOT6
38,MOT7
39,MOT8
40,MOT9
41,MOT10
42,SEN1
43,SEN2
44,SEN3
45,SEN4
46,SEN5
47,SEN6
48,SEN7
49,SEN8
50,SEN9
51,SEN10
52,PAR1
53,PAR2
54,PAR3
55,PAR4
56,PAR5
57,PAR6
58,PAR7
59,PAR8
60,PAR9
61,PAR10
62,INS1
63,INS2
64,INS3
65,INS4
66,INS5
67,INS6
68,INS7
69,INS8
70,INS9
71,INS10
72,TEMP1
73,TEMP2
74,TEMP3
75,TEMP4
76,TEMP5
77,TEMP6
78,TEMP7
79,TEMP8
80,TEMP9
81,TEMP10
82,RSMA1
83,RSMA2
84,RSMA3
85,RSMA4
86,RSMA5
87,RSMA6
88,RSMA7
89,RSMA8
90,RSMA9
91,RSMA10
